note_id,action_id,brand,action_name,title,body,published_date,likes,likes_captured_at,source_account,source_type,url,modules,peripherals
N028,starbucks-refresh,星巴克,星沁爽夏日促销,星沁爽限时优惠,模拟样本：以时段优惠和买赠机制拉动到店。,2026-09-20,2210,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,买一赠一|限时优惠|冰饮
N029,starbucks-refresh,星巴克,星沁爽夏日促销,夏日冰饮买赠攻略,模拟样本：模拟样本，不代表销量。,2026-08-24,1380,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,买一赠一|限时优惠|冰饮
N030,heytea-mango,喜茶,喜茶多肉芒芒季,多肉芒芒新品测评,模拟样本：芒果果肉、茶底和门店陈列被反复提及。,2026-08-26,3520,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|芒果|新品|门店打卡
N031,heytea-mango,喜茶,喜茶多肉芒芒季,芒果茶底对比,模拟样本：参考行业公开新品表达，数据仅为演示。,2026-08-28,2710,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|芒果|新品|门店打卡
N032,heytea-mango,喜茶,喜茶多肉芒芒季,多肉芒芒门店打卡,模拟样本：芒果果肉、茶底和门店陈列被反复提及。,2026-08-30,1680,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|芒果|新品|门店打卡
N033,heytea-seasonal,喜茶,喜茶秋季茶特调,秋季茶特调新品,模拟样本：茶特调系列适合观察原料与口味话题。,2026-09-01,2060,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,茶特调|桂花|新品
N034,heytea-seasonal,喜茶,喜茶秋季茶特调,茶特调配方分享,模拟样本：模拟样本。,2026-09-03,1240,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,茶特调|桂花|新品
N035,guming-osmanthus,古茗,古茗桂花秋茶系列,桂花秋茶新品,模拟样本：桂花、奶茶和套餐被归为一个秋季动作。,2026-09-05,2740,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,桂花|奶茶|套餐|新品
N036,guming-osmanthus,古茗,古茗桂花秋茶系列,桂花奶茶口感测评,模拟样本：模拟样本。,2026-09-07,2130,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,桂花|奶茶|套餐|新品
N037,guming-osmanthus,古茗,古茗桂花秋茶系列,秋茶新品套餐,模拟样本：桂花、奶茶和套餐被归为一个秋季动作。,2026-09-09,1190,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,桂花|奶茶|套餐|新品
N038,guming-grape,古茗,古茗青提茉莉系列,青提茉莉果茶,模拟样本：青提与茉莉是原料关注点。,2026-09-11,2280,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,青提|茉莉|果茶
N039,guming-grape,古茗,古茗青提茉莉系列,青提茉莉第二杯,模拟样本：模拟样本。,2026-09-13,1110,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,青提|茉莉|果茶
N040,mixue-hawthorn,蜜雪冰城,蜜雪冰城山楂系列上新,山楂系列新品,模拟样本：山楂、气泡与低价冰饮场景形成内容动作。,2026-09-15,3260,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,山楂|气泡|冰饮|新品
N041,mixue-hawthorn,蜜雪冰城,蜜雪冰城山楂系列上新,山楂气泡水测评,模拟样本：参考品牌常见新品表达，数据仅为演示。,2026-09-17,2450,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,山楂|气泡|冰饮|新品
N042,mixue-hawthorn,蜜雪冰城,蜜雪冰城山楂系列上新,山楂冰饮门店实拍,模拟样本：山楂、气泡与低价冰饮场景形成内容动作。,2026-09-19,1560,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,山楂|气泡|冰饮|新品
N043,mixue-orange,蜜雪冰城,蜜雪冰城鲜橙季互动,鲜橙季门店打卡,模拟样本：鲜橙季结合门店打卡和优惠。,2026-09-21,1840,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,鲜橙|打卡|买一赠一
N044,mixue-orange,蜜雪冰城,蜜雪冰城鲜橙季互动,鲜橙饮品买赠,模拟样本：模拟样本。,2026-08-25,970,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,活动,鲜橙|打卡|买一赠一
N045,yihetang-xianni,益禾堂,益禾堂×《仙逆》联名,仙逆联名芋泥啵啵,模拟样本：IP、新品和校园优惠形成复合动作。,2026-08-27,2980,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|杯贴|校园活动|一元喝
N046,yihetang-xianni,益禾堂,益禾堂×《仙逆》联名,仙逆主题杯贴,模拟样本：公开报道提到的活动结构，点赞为模拟值。,2026-08-29,2220,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|杯贴|校园活动|一元喝
N047,yihetang-xianni,益禾堂,益禾堂×《仙逆》联名,开学一元喝活动,模拟样本：IP、新品和校园优惠形成复合动作。,2026-08-31,1760,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,联名,IP联名|杯贴|校园活动|一元喝
N048,nayuki-summer,奈雪的茶,奈雪鲜果茶夏日限定,鲜果茶夏日限定,模拟样本：鲜果、杯套与季节限定是主要信号。,2026-09-02,1740,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|鲜果|杯套|限定
N049,nayuki-summer,奈雪的茶,奈雪鲜果茶夏日限定,果茶周边杯套,模拟样本：模拟样本。,2026-09-04,960,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|鲜果|杯套|限定
N050,nayuki-summer,奈雪的茶,奈雪鲜果茶夏日限定,奈雪鲜果茶门店实拍,模拟样本：鲜果、杯套与季节限定是主要信号。,2026-09-06,740,2026-09-22T08:00:00+08:00,Signal 模拟观察员,simulated_public_pattern,,新品,果茶|鲜果|杯套|限定
